               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.043316,            0.010579,           0.0028232,             0.93099,             0.89383,             0.92619,             0.54003,            0.040225,           0.0075071,           0.0020123,             0.00406,             0.00406,             0.00406
                  32,            0.043456,            0.010724,           0.0025761,             0.93931,              0.8932,             0.92645,             0.55928,            0.039679,           0.0074785,           0.0020388,            0.003862,            0.003862,            0.003862
                  33,            0.043129,            0.010632,           0.0025345,             0.92903,             0.89592,             0.92624,             0.55909,            0.039581,           0.0074196,           0.0019572,            0.003664,            0.003664,            0.003664
                  34,            0.041925,            0.010594,           0.0024121,             0.93402,             0.89252,             0.92508,              0.5477,            0.039443,           0.0074014,            0.001879,            0.003466,            0.003466,            0.003466
                  35,            0.042361,            0.010388,           0.0022998,              0.9363,              0.8922,             0.93125,             0.55052,             0.03958,            0.007442,           0.0020169,            0.003268,            0.003268,            0.003268
                  36,            0.041637,             0.01046,           0.0024195,             0.94442,             0.89021,             0.93113,             0.55231,            0.038922,           0.0073838,           0.0018685,             0.00307,             0.00307,             0.00307
                  37,            0.042735,            0.010338,           0.0026902,               0.942,             0.89388,             0.93033,             0.55799,            0.039254,           0.0073966,           0.0018821,            0.002872,            0.002872,            0.002872
                  38,            0.041147,            0.010122,            0.002324,             0.93957,             0.89516,             0.92859,             0.56235,            0.038505,           0.0073749,           0.0019582,            0.002674,            0.002674,            0.002674
                  39,             0.04198,            0.010717,           0.0026267,             0.94337,             0.90337,             0.93294,             0.56995,            0.038695,            0.007309,           0.0019216,            0.002476,            0.002476,            0.002476
                  40,            0.040928,            0.010284,           0.0024587,             0.94386,             0.90435,             0.93279,             0.56276,            0.038887,           0.0073344,           0.0019124,            0.002278,            0.002278,            0.002278
                  41,            0.040377,            0.010178,           0.0024362,             0.94362,               0.896,             0.92948,             0.56756,            0.038417,            0.007329,           0.0019323,             0.00208,             0.00208,             0.00208
                  42,            0.041081,            0.010335,           0.0022417,              0.9355,               0.899,             0.93295,             0.56385,            0.038643,           0.0073124,           0.0018785,            0.001882,            0.001882,            0.001882
                  43,            0.040333,            0.010304,           0.0024688,             0.94069,             0.89779,             0.92952,             0.57376,            0.038457,           0.0073271,           0.0019035,            0.001684,            0.001684,            0.001684
                  44,            0.040652,            0.010174,            0.002183,              0.9318,             0.90174,             0.93122,             0.56411,            0.038105,           0.0072829,           0.0018567,            0.001486,            0.001486,            0.001486
                  45,            0.039746,            0.010095,           0.0020892,             0.93025,             0.89978,             0.92788,             0.56768,            0.038072,           0.0072904,           0.0019047,            0.001288,            0.001288,            0.001288
                  46,            0.039448,            0.010201,           0.0022123,             0.94423,             0.90201,              0.9339,             0.57912,             0.03804,            0.007276,           0.0018691,             0.00109,             0.00109,             0.00109
                  47,            0.039705,            0.010181,           0.0023264,             0.94139,             0.90401,             0.93504,             0.57508,             0.03769,            0.007291,            0.001883,            0.000892,            0.000892,            0.000892
                  48,            0.039587,           0.0099414,           0.0022218,             0.94322,             0.90091,              0.9316,             0.57855,            0.037606,           0.0072678,           0.0018667,            0.000694,            0.000694,            0.000694
                  49,            0.039242,           0.0096487,           0.0019973,             0.94659,             0.90349,             0.93538,              0.5767,            0.037568,           0.0072691,           0.0018505,            0.000496,            0.000496,            0.000496
