               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041716,             0.01056,           0.0024783,             0.93934,             0.89901,             0.93174,             0.54727,            0.039183,           0.0071384,           0.0029311,             0.00307,             0.00307,             0.00307
                  37,            0.041718,            0.010484,           0.0025374,             0.94446,             0.89346,             0.92911,             0.55189,            0.038775,           0.0071294,           0.0028326,            0.002872,            0.002872,            0.002872
                  38,            0.041823,            0.010316,           0.0027299,             0.94517,             0.89796,             0.93428,             0.56195,            0.038783,           0.0071234,           0.0027644,            0.002674,            0.002674,            0.002674
                  39,            0.041113,            0.010449,           0.0020771,             0.94401,             0.90324,             0.93907,             0.56492,            0.038575,           0.0070914,           0.0027797,            0.002476,            0.002476,            0.002476
                  40,            0.040878,            0.010254,           0.0024259,             0.93873,             0.90333,             0.93299,             0.56615,            0.038682,           0.0071441,           0.0028809,            0.002278,            0.002278,            0.002278
                  41,            0.040277,            0.010398,           0.0020546,              0.9364,             0.89719,              0.9356,             0.56839,            0.038369,           0.0071027,           0.0027864,             0.00208,             0.00208,             0.00208
                  42,            0.040085,            0.010063,           0.0023122,             0.93289,             0.90841,             0.93811,             0.56128,            0.038619,           0.0070572,            0.002761,            0.001882,            0.001882,            0.001882
                  43,             0.04008,           0.0099771,            0.002211,             0.93902,             0.89868,             0.93698,             0.56748,            0.038404,           0.0070704,           0.0028151,            0.001684,            0.001684,            0.001684
                  44,            0.039305,            0.010047,           0.0019576,             0.94003,             0.89984,             0.93362,             0.57228,            0.038286,           0.0070425,           0.0028357,            0.001486,            0.001486,            0.001486
                  45,            0.040058,            0.010174,           0.0022064,             0.93943,             0.90505,             0.93865,             0.57555,            0.038044,           0.0070592,           0.0027395,            0.001288,            0.001288,            0.001288
                  46,            0.039762,            0.010379,           0.0021081,             0.94233,             0.90295,             0.93999,             0.57735,              0.0375,           0.0070579,           0.0027932,             0.00109,             0.00109,             0.00109
                  47,            0.039606,            0.010306,           0.0021964,               0.938,             0.90766,             0.93884,             0.57404,            0.037445,           0.0070009,           0.0027952,            0.000892,            0.000892,            0.000892
                  48,            0.039614,            0.010222,           0.0021009,             0.94337,             0.90422,             0.93994,             0.57655,            0.037513,           0.0070162,           0.0027624,            0.000694,            0.000694,            0.000694
                  49,             0.03924,            0.010134,           0.0021705,             0.94705,              0.9044,             0.93983,             0.57624,            0.037576,           0.0070083,           0.0027497,            0.000496,            0.000496,            0.000496
